round,team_key,team_name,points
1,claude_chat,Pure-AI Claude chat,170.0
1,human,Pure human judgement,218.0
1,model,Vibe-coded data science model,124.0
2,claude_chat,Pure-AI Claude chat,338.0
2,human,Pure human judgement,373.0
2,model,Vibe-coded data science model,328.0
3,claude_chat,Pure-AI Claude chat,154.0
3,human,Pure human judgement,175.0
3,model,Vibe-coded data science model,161.0
6,claude_chat,Pure-AI Claude chat,175.0
6,human,Pure human judgement,153.0
6,model,Vibe-coded data science model,148.0
