position,driver_code,team_id,fastest_lap,dotd,dnf,points,positions_gained
1,ANT,mercedes,False,False,False,10.0,
2,RUS,mercedes,False,False,False,9.0,
3,PIA,mclaren,False,False,False,8.0,
4,LEC,ferrari,False,False,False,7.0,
5,NOR,mclaren,False,False,False,6.0,
6,HAM,ferrari,False,False,False,5.0,
7,GAS,alpine,False,False,False,4.0,
8,HAD,red_bull,False,False,False,3.0,
9,BOR,audi,False,False,False,2.0,
10,LIN,racing_bulls,False,False,False,1.0,
11,VER,red_bull,False,False,False,0.0,
12,OCO,haas,False,False,False,0.0,
13,HUL,audi,False,False,False,0.0,
14,LAW,racing_bulls,False,False,False,0.0,
15,COL,alpine,False,False,False,0.0,
16,SAI,williams,False,False,False,0.0,
17,ALB,williams,False,False,False,0.0,
18,BEA,haas,False,False,False,0.0,
19,PER,cadillac,False,False,False,0.0,
20,BOT,cadillac,False,False,False,0.0,
21,ALO,aston_martin,False,False,False,0.0,
22,STR,aston_martin,False,False,False,0.0,
